"open_time","open","high","low","close","volume","close_time","quote_asset_volume","trades","taker_buy_base_asset_volume","taker_buy_quote_asset_volume","symbol"
2019-11-28 15:30:00,220.08,224.6,212.02,218.52,748.99198,2019-11-28 15:59:59.999,163998.085775,397,247.86838,54390.0675111,"BCHUSDT"
2019-11-28 16:00:00,218.29,219.06,217.68,218.98,580.5152,2019-11-28 16:29:59.999,126839.0020662,166,443.6427,96952.4053726,"BCHUSDT"
2019-11-28 16:30:00,218.98,219.39,218.12,218.12,421.25413,2019-11-28 16:59:59.999,92134.0288806,140,58.8294,12885.2325108,"BCHUSDT"
2019-11-28 17:00:00,218.16,219.4,218.12,219.04,90.61892,2019-11-28 17:29:59.999,19820.9444442,122,50.06904,10943.7324701,"BCHUSDT"
2019-11-28 17:30:00,219.04,219.05,217,217.28,423.03981,2019-11-28 17:59:59.999,92280.9493425,154,195.83939,42718.7244065,"BCHUSDT"
2019-11-28 18:00:00,217.14,218,216.57,217.53,358.5898,2019-11-28 18:29:59.999,77899.6195191,188,175.81109,38169.3523516,"BCHUSDT"
2019-11-28 18:30:00,217.55,218.78,217.54,217.89,220.46753,2019-11-28 18:59:59.999,48109.1454261,89,106.0049,23130.45074,"BCHUSDT"
2019-11-28 19:00:00,218.15,218.49,217.73,218.29,240.86419,2019-11-28 19:29:59.999,52521.7717788,167,138.10559,30114.081852,"BCHUSDT"
2019-11-28 19:30:00,218,218.49,217.45,217.85,278.51932,2019-11-28 19:59:59.999,60733.2569598,173,195.22993,42586.6540289,"BCHUSDT"
2019-11-28 20:00:00,217.83,219,217.8,218.67,321.54878,2019-11-28 20:29:59.999,70222.5656502,222,184.25726,40232.8220544,"BCHUSDT"
2019-11-28 20:30:00,218.35,221.87,218.24,221.28,655.86839,2019-11-28 20:59:59.999,144604.013547,468,348.06937,76660.4611233,"BCHUSDT"
2019-11-28 21:00:00,221.17,222.3,220.31,221.39,980.29772,2019-11-28 21:29:59.999,216895.4133052,512,393.47892,87036.9109033,"BCHUSDT"
2019-11-28 21:30:00,221.4,221.41,219.27,219.61,448.11666,2019-11-28 21:59:59.999,98688.6654845,341,192.02946,42290.7084712,"BCHUSDT"
2019-11-28 22:00:00,219.82,220.98,219.49,220.53,423.58194,2019-11-28 22:29:59.999,93319.2257537,176,307.41471,67725.9029879,"BCHUSDT"
2019-11-28 22:30:00,220.54,220.67,219.66,219.98,206.43197,2019-11-28 22:59:59.999,45440.8157371,159,95.46333,21010.6484068,"BCHUSDT"
2019-11-28 23:00:00,219.9,220.04,219.66,219.87,128.44797,2019-11-28 23:29:59.999,28231.2684457,102,71.66516,15753.8583115,"BCHUSDT"
2019-11-28 23:30:00,219.67,220.28,219.53,219.94,193.34858,2019-11-28 23:59:59.999,42507.9508314,171,90.85267,19978.3918635,"BCHUSDT"
2019-11-29 00:00:00,219.8,220.25,219,219.76,294.48609,2019-11-29 00:29:59.999,64709.7273788,164,181.87374,39992.887973,"BCHUSDT"
2019-11-29 00:30:00,219.76,220.59,219.62,220.59,240.34542,2019-11-29 00:59:59.999,52850.1614455,95,205.76387,45245.1066854,"BCHUSDT"
2019-11-29 01:00:00,220.48,221,220.29,220.96,297.0956,2019-11-29 01:29:59.999,65591.4009749,131,202.1144,44641.2101196,"BCHUSDT"
2019-11-29 01:30:00,220.87,221,218.45,219.01,937.03421,2019-11-29 01:59:59.999,205459.1008424,376,694.19011,152248.4250257,"BCHUSDT"
2019-11-29 02:00:00,218.95,219.73,218.84,218.99,103.57861,2019-11-29 02:29:59.999,22705.5413295,84,37.81653,8283.1140818,"BCHUSDT"
2019-11-29 02:30:00,218.84,218.96,216.75,218.08,673.72497,2019-11-29 02:59:59.999,146799.9387407,389,243.58331,53052.7557047,"BCHUSDT"
2019-11-29 03:00:00,217.96,218.86,217.67,218.72,163.12089,2019-11-29 03:29:59.999,35601.9750271,122,84.83136,18522.7849286,"BCHUSDT"
2019-11-29 03:30:00,218.6,220,218.35,219.06,408.06999,2019-11-29 03:59:59.999,89362.6329559,173,319.55013,69966.8235107,"BCHUSDT"
2019-11-29 04:00:00,218.98,219.08,216.36,216.99,952.46837,2019-11-29 04:29:59.999,207000.6031858,484,372.07886,80821.5286284,"BCHUSDT"
2019-11-29 04:30:00,217.08,218.51,215.96,217.32,551.12217,2019-11-29 04:59:59.999,119733.8804596,395,266.79525,58025.0449895,"BCHUSDT"
2019-11-29 05:00:00,217.17,218.01,216.95,217.41,215.25165,2019-11-29 05:29:59.999,46838.0038727,114,93.8732,20409.10748,"BCHUSDT"
2019-11-29 05:30:00,217.4,218.73,216.9,218.73,401.54671,2019-11-29 05:59:59.999,87408.8494077,238,231.23791,50372.6809068,"BCHUSDT"
2019-11-29 06:00:00,218.74,218.94,218.14,218.48,334.65315,2019-11-29 06:29:59.999,73157.5123984,156,219.04851,47888.9108734,"BCHUSDT"
2019-11-29 06:30:00,218.49,218.79,217.5,217.63,360.07783,2019-11-29 06:59:59.999,78610.0892524,170,160.84392,35126.8288885,"BCHUSDT"
2019-11-29 07:00:00,217.66,218.39,217.55,218.37,40.378,2019-11-29 07:29:59.999,8805.1302425,56,17.4541,3806.1205986,"BCHUSDT"
2019-11-29 07:30:00,218.16,218.73,217.94,218.39,255.04422,2019-11-29 07:59:59.999,55725.5682581,215,198.56585,43390.2303056,"BCHUSDT"
2019-11-29 08:00:00,218.37,218.83,217.96,218.32,97.75943,2019-11-29 08:29:59.999,21353.9044007,93,48.18112,10529.3586904,"BCHUSDT"
2019-11-29 08:30:00,218.34,220.36,218.34,220.09,880.48245,2019-11-29 08:59:59.999,193414.9846815,563,489.26968,107449.2378224,"BCHUSDT"
2019-11-29 09:00:00,220.11,220.73,219.8,220.18,1099.15665,2019-11-29 09:29:59.999,242182.0809517,337,729.32475,160764.6270792,"BCHUSDT"
2019-11-29 09:30:00,220.35,220.49,219.71,219.95,379.23232,2019-11-29 09:59:59.999,83448.1678288,165,147.51005,32453.2777355,"BCHUSDT"
2019-11-29 10:00:00,220,220.12,219.7,219.76,1146.97745,2019-11-29 10:29:59.999,252276.1785169,172,1030.67804,226705.250525,"BCHUSDT"
2019-11-29 10:30:00,219.67,219.93,219.18,219.18,177.14619,2019-11-29 10:59:59.999,38903.1439543,90,99.07786,21760.4451203,"BCHUSDT"
2019-11-29 11:00:00,219.06,219.34,218.67,219.34,160.61869,2019-11-29 11:29:59.999,35177.5069184,149,77.27628,16928.0909396,"BCHUSDT"
2019-11-29 11:30:00,219.45,219.48,218.4,218.79,502.87764,2019-11-29 11:59:59.999,109926.6138858,203,80.02592,17518.7042546,"BCHUSDT"
2019-11-29 12:00:00,218.77,219.52,218.74,219.36,158.31408,2019-11-29 12:29:59.999,34716.1882618,93,90.05971,19749.0096372,"BCHUSDT"
2019-11-29 12:30:00,219.55,220.33,219.55,219.96,183.94663,2019-11-29 12:59:59.999,40471.7911968,193,124.67536,27429.662906,"BCHUSDT"
2019-11-29 13:00:00,220.13,221.87,219.89,221.52,2658.54775,2019-11-29 13:29:59.999,587185.3347847,676,2264.67829,500221.8931194,"BCHUSDT"
2019-11-29 13:30:00,221.36,222.94,220.47,222.33,1873.73207,2019-11-29 13:59:59.999,415675.8431573,993,837.01904,185925.1813682,"BCHUSDT"
2019-11-29 14:00:00,222.35,222.5,221.65,221.99,934.83798,2019-11-29 14:29:59.999,207616.0928478,606,356.71654,79226.19516,"BCHUSDT"
2019-11-29 14:30:00,222.01,224.79,221.98,224.46,2647.80671,2019-11-29 14:59:59.999,592363.8048263,1184,1555.47752,347702.6090622,"BCHUSDT"
2019-11-29 15:00:00,224.55,226,224.35,224.96,1990.68293,2019-11-29 15:29:59.999,448440.8222274,1017,1167.93971,263146.6140273,"BCHUSDT"
2019-11-29 15:30:00,225.01,225.84,223.52,223.97,1122.89388,2019-11-29 15:59:59.999,252355.9360364,724,434.89246,97817.033808,"BCHUSDT"
2019-11-29 16:00:00,223.8,225.38,223.51,224.21,488.75585,2019-11-29 16:29:59.999,109695.8284446,304,220.32275,49469.425702,"BCHUSDT"
2019-11-29 16:30:00,224.15,225.5,223.4,224.69,1028.28647,2019-11-29 16:59:59.999,230779.15405,496,416.97196,93513.6997082,"BCHUSDT"
